Source,Target,Type,Id,Label,Weight,movie_id
5096932,5096969,Undirected,679,181587,1,828
5098606,5103789,Undirected,680,182039,1,828
5098606,5098095,Undirected,681,182094,1,828
5098606,5101061,Undirected,682,182036,1,828
5098606,5097941,Undirected,683,182037,1,828
5098606,5101981,Undirected,684,181967,2,828
5098606,5102617,Undirected,685,181969,1,828
5098606,5098545,Undirected,686,181966,1,828
5102009,5101840,Undirected,687,181924,1,828
5102009,5098619,Undirected,688,181923,1,828
5101998,5102009,Undirected,689,181920,1,828
5101998,5101840,Undirected,690,181922,1,828
5101998,5098619,Undirected,691,181921,1,828
5096948,5096932,Undirected,692,181585,1,828
5096948,5097212,Undirected,693,181604,1,828
5096948,5097161,Undirected,694,181589,1,828
5096948,5097505,Undirected,695,181618,2,828
5096948,5098041,Undirected,696,182124,2,828
5096948,5097316,Undirected,697,181617,4,828
5101041,5098541,Undirected,698,181872,1,828
5101041,5101061,Undirected,699,181871,1,828
5099349,5096948,Undirected,700,181886,1,828
5099349,5097505,Undirected,701,181733,1,828
5099349,5096969,Undirected,702,181734,1,828
5097212,5097262,Undirected,703,181593,1,828
5097212,5099349,Undirected,704,181730,1,828
5097212,5097505,Undirected,705,181731,1,828
5097212,5096969,Undirected,706,181600,3,828
5097212,5097316,Undirected,707,181603,1,828
5097875,5098606,Undirected,708,181819,3,828
5097875,5099110,Undirected,709,181697,2,828
5097875,5097979,Undirected,710,181632,1,828
5097875,5098128,Undirected,711,182106,1,828
5097875,5099090,Undirected,712,181694,3,828
5097875,5100327,Undirected,713,181812,2,828
5097875,5102924,Undirected,714,182095,1,828
5097875,5103789,Undirected,715,182045,1,828
5097875,5106033,Undirected,716,182122,1,828
5097875,5098583,Undirected,717,181818,1,828
5097875,5100274,Undirected,718,181789,1,828
5097875,5099096,Undirected,719,181695,2,828
5097875,5098619,Undirected,720,181814,4,828
5097875,5098041,Undirected,721,181634,3,828
5097875,5097915,Undirected,722,181630,1,828
5097875,5097316,Undirected,723,181664,8,828
5097875,5100134,Undirected,724,181974,1,828
5097875,5102237,Undirected,725,181950,2,828
5097875,5099267,Undirected,726,181716,1,828
5097875,5098417,Undirected,727,181665,1,828
5097875,5100333,Undirected,728,181813,1,828
5097296,5097320,Undirected,729,181598,1,828
5097296,5097316,Undirected,730,181597,1,828
5099110,5098606,Undirected,731,181841,1,828
5099110,5099090,Undirected,732,181839,1,828
5099110,5098583,Undirected,733,181840,1,828
5099110,5097941,Undirected,734,181713,1,828
5099110,5097316,Undirected,735,181838,1,828
5102841,5097941,Undirected,736,181990,1,828
5097979,5097994,Undirected,737,181647,1,828
5097979,5098041,Undirected,738,181648,1,828
5098128,5099499,Undirected,739,181736,1,828
5098128,5098583,Undirected,740,181673,1,828
5098128,5098095,Undirected,741,181663,4,828
5098128,5098193,Undirected,742,181659,1,828
5098128,5097316,Undirected,743,181737,2,828
5098128,5102690,Undirected,744,182049,1,828
5105151,5105174,Undirected,745,182099,1,828
5098541,5098128,Undirected,746,181669,1,828
5098541,5098583,Undirected,747,181670,1,828
5101285,5102009,Undirected,748,181908,1,828
5101285,5101998,Undirected,749,181907,1,828
5101285,5101840,Undirected,750,181898,3,828
5101285,5098619,Undirected,751,181909,1,828
5101285,5098242,Undirected,752,181905,1,828
5101285,5101981,Undirected,753,181906,1,828
5102317,5102267,Undirected,754,181933,1,828
5102317,5098095,Undirected,755,181934,1,828
