Id,Label,movie_id,componentnumber,modularity_class
5097316,ROSE,828,0,0
5098095,JACK,828,0,3
5097875,CAL,828,0,5
5098619,MOLLY,828,0,4
5098545,SMITH,828,0,2
5101061,LIGHTOLLER,828,0,5
5096969,LOVETT,828,0,0
5097941,LOVEJOY,828,0,5
5098606,ANDREWS,828,0,1
5097894,RUTH,828,0,5
5098041,OLD ROSE,828,0,5
5096948,BODINE,828,0,0
5098128,FABRIZIO,828,0,3
5098463,WOMAN,828,0,3
5098583,ISMAY,828,0,1
5101981,MURDOCH,828,0,4
5100134,STEWARD,828,0,3
5097212,BUELL,828,0,0
5101285,FLEET,828,0,4
5101840,LEE,828,0,4
5100235,SIR COSMO,828,0,4
5098242,MOODY,828,0,4
5102690,STEWARD #2,828,0,3
5099090,GRACIE,828,0,1
5098717,TOMMY,828,0,3
5097994,MAN,828,0,5
5101041,BRIDE,828,0,2
5098541,FIRST OFFICER MURDOCH,828,0,2
5098267,ROWE,828,0,4
5099110,COLONEL GRACIE,828,0,1
5103242,HITCHINS,828,0,4
5097505,LIZZY,828,0,0
5099096,MASTER AT ARMS,828,0,5
5102237,STEWARD BARNES,828,0,5
5102267,HUTCHINSON,828,0,2
5103072,LOWE,828,0,1
5096932,ANATOLY,828,0,0
5097262,ANNOUNCER,828,0,0
5102009,BARRETT,828,0,4
5101998,BELL,828,0,4
5099349,BROCK,828,0,0
5097161,CAMERAMAN,828,0,0
5097296,CNN REPORTER,828,0,0
5102841,CREWMAN,828,0,5
5097979,DANIEL,828,0,5
5105151,FATHER BYLES,828,0,3
5102317,GENTLEMAN,828,0,2
5100327,GUGGENHEIM,828,0,1
5102924,HARTLEY,828,0,5
5099499,HELGA,828,0,3
5104295,HUSBAND,828,0,5
5103789,IDA,828,0,5
5106033,IMMIGRATION OFFICER,828,0,5
5105104,JOUGHIN,828,0,3
5102992,LITTLE BOY,828,0,3
5100274,MADELEINE,828,0,4
5099903,MARVIN,828,0,5
5105174,MOTHER,828,0,3
5098082,OLAF,828,0,3
5103330,OPERATOR,828,0,0
5101750,PHILLIPS,828,0,2
5097915,PORTER,828,0,5
5098193,PUBKEEPER,828,0,3
5097320,REPORTER,828,0,0
5102617,SEAMAN,828,0,1
5098088,SVEN,828,0,3
5099267,TRANSITION,828,0,5
5098417,TRUDY,828,0,5
5100333,WAITER,828,0,1
5102939,WOMAN IN CROWD,828,0,5
